county,Disease/ Condition,Number at Risk
Nakuru,0,0
Makueni,0,1
Kwale,Pneumonia,8
Nakuru,Infectious Coryza,10
Kwale,Pneumonia,3
Tharaka-Nithi,Pneumonia,1
Taita Taveta,Trypanosomiasis,0
Kwale,Foot and Mouth Disease (FMD),13
Taita Taveta,Eye Infection,14
Taita Taveta,Pneumonia,1
Taita Taveta,Trypanosomiasis,30
Taita Taveta,Trypanosomiasis,5
Kwale,Helminthiasis,31
Taita Taveta,Acute Trypanosomiasis,6
Kwale,Contagious Caprine Pleuropneumonia (CCPP),16
Taita Taveta,Trypanosomiasis,1
Garissa,Contagious Caprine Pleuropneumonia (CCPP),258
Kwale,Contagious Caprine Pleuropneumonia (CCPP),5
Kakamega,Vaginitis,1
Marsabit,Peste des Petit Ruminants (PPR),110
Kwale,Pneumonia,11
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Kwale,Foot and Mouth Disease (FMD),31
Kakamega,East Coast Fever(ECF),4
Taita Taveta,0,1
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),200
Taita Taveta,Trypanosomiasis,0
Kwale,Foot and Mouth Disease (FMD),11
Machakos,Lumpy Skin Disease (LSD),1
Taita Taveta,Trypanosomiasis,20
Taita Taveta,Helminthiasis,18
Makueni,Anaplasmosis,1
Tharaka-Nithi,Lumpy Skin Disease (LSD),1
Marsabit,Peste des Petit Ruminants (PPR),228
Tharaka-Nithi,Lumpy Skin Disease (LSD),10
Taita Taveta,Myasis,1
Kwale,Helminthiasis,20
Kwale,Heart Water,0
Kwale,Pneumonia,0
Taita Taveta,Mastitis,20
Kwale,Trypanosomiasis,0
Kakamega,East Coast Fever(ECF),1
Tana River,Sheep Pox,412
Marsabit,Peste des Petit Ruminants (PPR),120
Kwale,Pneumonia,6
Kakamega,East Coast Fever(ECF),3
Kwale,Helminthiasis,4
Marsabit,Peste des Petit Ruminants (PPR),59
Busia,Animal bites,6
Kwale,Helminthiasis,15
Kwale,Mange,0
Kwale,East Coast Fever(ECF),0
Kwale,Infectious Bronchitis,0
Kwale,Fowl Pox,0
Kwale,Foot and Mouth Disease (FMD),50
Busia,East Coast Fever(ECF),3
Taita Taveta,Helminthiasis,4
Taita Taveta,Helminthiasis,1
Makueni,Pneumonia,0
Kwale,Trypanosomiasis,0
Makueni,Helminthiasis,1
Taita Taveta,Trypanosomiasis,3
Bomet,Anthrax,20
Kwale,Pneumonia,0
Makueni,Helminthiasis,0
Busia,Helminthiasis,5
Kwale,Trypanosomiasis,0
Busia,Anaplasmosis,3
Nyeri,Pneumonia,20
Tana River,Parvovirus,2
Taita Taveta,East Coast Fever(ECF),3
Siaya,Orf,16
Makueni,Lumpy Skin Disease (LSD),13
Kwale,Trypanosomiasis,0
Kwale,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),0
Makueni,Hydatidosis ,0
Kakamega,Mastitis,0
Taita Taveta,East Coast Fever(ECF),5
Vihiga,Contagious Caprine Pleuropneumonia (CCPP),75
Kwale,Retained afterbirth ,0
Makueni,Helminthiasis,2
Kakamega,East Coast Fever(ECF),2
Kwale,Anaplasmosis,3
Makueni,Contagious Caprine Pleuropneumonia (CCPP),4
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Nakuru,Lumpy Skin Disease (LSD),23
Vihiga,Lice Infestation ,0
Marsabit,Rabies,35
Kwale,Anaplasmosis,5
Marsabit,Rabies,13
Garissa,Contagious Caprine Pleuropneumonia (CCPP),2648
Meru,Foot and Mouth Disease (FMD),1000
Garissa,Contagious Caprine Pleuropneumonia (CCPP),4201
Garissa,Contagious Caprine Pleuropneumonia (CCPP),4500
Kakamega,East Coast Fever(ECF),1
Tharaka-Nithi,Lumpy Skin Disease (LSD),2
Busia,Mastitis ,3
Kwale,Pneumonia,3
Busia,Helminthiasis,41
Busia,Paraphimosis,1
Busia,Keratoconjutivitis,42
Taita Taveta,Black Quarter,1
Narok,East Coast Fever(ECF),16
Busia,Peste des Petit Ruminants (PPR),1
Kwale,Helminthiasis,20
Embu,Rabies,2
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Turkana,Lumpy Skin Disease (LSD),23
Kwale,Pneumonia,32
Bomet,Foot and Mouth Disease (FMD),16
Kwale,Trypanosomiasis,21
Taita Taveta,Trypanosomiasis,80
Taita Taveta,Helminthiasis,300
Taita Taveta,Helmenthiasis,0
Tana River,Pneumonia,23
Kwale,Pneumonia,80
Laikipia,Lumpy Skin Disease (LSD),10
Nakuru,Brucellosis,1
Taita Taveta,Enteritis ,0
Kajiado,Contagious Caprine Pleuropneumonia (CCPP),327
Kajiado,Brucellosis,200
Marsabit,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),5
Marsabit,Helminthiasis,0
Taita Taveta,Anaplasmosis,1
Makueni,Animal bites,10
Taita Taveta,Helminthiasis,2
Marsabit,Helminthiasis,0
Makueni,Dystocia,0
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),2
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,0
Marsabit,Peste des Petit Ruminants (PPR),53
Makueni,Foot and Mouth Disease (FMD),13
Marsabit,Pneumonia,48
Tharaka-Nithi,Trypanosomiasis,1
Kitui,Animal bites,3
Tana River,Goat Pox,291
Samburu,Peste des Petit Ruminants (PPR),135
Makueni,Helminthiasis,21
Samburu,Footrot,120
Tharaka-Nithi,Lumpy Skin Disease (LSD),3
Bomet,Lumpy Skin Disease (LSD),6
Kwale,Helminthiasis,10
Bomet,Lumpy Skin Disease (LSD),5
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Busia,Enterotoxaemia,5
Kwale,Helminthiasis,8
Kwale,Pneumonia,66
Nakuru,0,20
Bomet,Foot and Mouth Disease (FMD),10
Nakuru,Calf Scours,1
Kwale,wound,0
Turkana,Rabies,30
Kwale,Trypanosomiasis,0
Kwale,Trypanosomiasis,0
Kwale,Trypanosomiasis,0
Taita Taveta,Pneumonia,75
Taita Taveta,Pneumonia,60
Makueni,Pneumonia,3
Taita Taveta,Anaplasmosis,5
Taita Taveta,Black Quarter,1
Tharaka-Nithi,Anthrax,6
Marsabit,Peste des Petit Ruminants (PPR),50
Taita Taveta,East Coast Fever(ECF),3
Taita Taveta,Leg Injury ,0
Marsabit,No,40
Tharaka-Nithi,Coccidosis,2
Bomet,Helminthiasis,0
Kwale,Pneumonia,1
Turkana,Contagious Caprine Pleuropneumonia (CCPP),64
Marsabit,Peste des Petit Ruminants (PPR),46
Bomet,Fatty Degeneration,0
Tana River,Pneumonia,1
Taita Taveta,Pneumonia,0
Laikipia,Lumpy Skin Disease (LSD),4
Makueni,Foot and Mouth Disease (FMD),422
Nakuru,Parvovirus,3
Tana River,Contagious Caprine Pleuropneumonia (CCPP),329
Nakuru,Animal bites,2
Taita Taveta,Entritis,1
Marsabit,Peste des Petit Ruminants (PPR),65
Tana River,Peste des Petit Ruminants (PPR),8
Tana River,Contagious Caprine Pleuropneumonia (CCPP),5
Tana River,Pneumonia,7
Laikipia,East Coast Fever(ECF),20
Bomet,Helminthiasis,0
Tharaka-Nithi,Lumpy Skin Disease (LSD),4
Tana River,Pneumonia,7
Kitui,Foot and Mouth Disease (FMD),250
Tana River,Helminthiasis,5
Kakamega,Lumpy Skin Disease (LSD),3
Vihiga,Pink Eye,4
Makueni,Mange,0
Marsabit,Fowl Pox,10
Vihiga,Ruminal Tympany,3
Marsabit,Rabies,31
Vihiga,Helminthiasis,8
Tharaka-Nithi,Lumpy Skin Disease (LSD),1
Taita Taveta,Mastitis ,0
Marsabit,Pneumonia,8
Marsabit,Camel Abscess,6
Marsabit,Peste des Petit Ruminants (PPR),52
Marsabit,Menge,22
Taita Taveta,East Coast Fever(ECF),2
Marsabit,Helminthiasis,38
Kajiado,Foot and Mouth Disease (FMD),83
Marsabit,Pneumonia,34
Kwale,Poisoning,10
Marsabit,Peste des Petit Ruminants (PPR),68
Marsabit,Brucellosis,62
Marsabit,Brucellosis,57
Marsabit,Pneumonia,43
Taita Taveta,Trypanosomiasis,4
Marsabit,Brucellosis,39
Taita Taveta,Skin Infection,1
Marsabit,Pneumonia,18
Taita Taveta,Myiasis,20
Marsabit,Pneumonia,30
Marsabit,Peste des Petit Ruminants (PPR),51
Taita Taveta,Grain Overload,4
Taita Taveta,Trypanosomiasis,4
Taita Taveta,Helminthiasis,2
Taita Taveta,Trypanosomiasis,16
Taita Taveta,Anaplasmosis,5
Marsabit,Pneumonia,121
Kwale,Poisoning,15
Bomet,Pneumonia,0
Bomet,Pneumonia,0
Nyamira,Foot and Mouth Disease (FMD),50
Samburu,Uterus Prolapse ,12
Taita Taveta,Trypanosomiasis,26
Samburu,Puncture Wound,16
Kitui,Contagious Caprine Pleuropneumonia (CCPP),31
Samburu,Wounds ,15
Taita Taveta,Pneumonia,3
Taita Taveta,Trypanosomiasis,1
Taita Taveta,Mastitis ,1
Samburu,Goat Dystentry ,52
Samburu,Foot Rot,17
Marsabit,Rabies,7
Taita Taveta,Anaplasmosis,2
Taita Taveta,RAB,0
Marsabit,Milk fever,17
Marsabit,Pneumonia,42
Kwale,Helminthiasis,6
Kwale,Heart Water,4
Kakamega,Black Quarter,16
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Kwale,Helminthiasis,1
Kwale,Septicemia ,34
Makueni,Poisoning,3
Kwale,Foot and Mouth Disease (FMD),13
Kwale,Contagious Caprine Pleuropneumonia (CCPP),11
Kwale,Newcastle Disease (NCD),58
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,0
Wajir,Pneumonia,1000
Marsabit,Helminthiasis ,0
Kwale,Septicemia ,2
Kwale,Contagious Caprine Pleuropneumonia (CCPP),28
Taita Taveta,Heart Water,5
Marsabit,Helminthiasis,0
Marsabit,Feline Dermatitis ,2
Makueni,Pneumonia,0
Kwale,Trypanosomiasis,2
Makueni,Foot and Mouth Disease (FMD),6
Kakamega,Helminthiasis,0
Taita Taveta,Trypanosomiasis,12
Makueni,Helminthiasis,5
Laikipia,East Coast Fever(ECF),4
Makueni,Foot and Mouth Disease (FMD),1
Turkana,Contagious Caprine Pleuropneumonia (CCPP),58
Kwale,No,20
Makueni,Helminthiasis,0
Taita Taveta,Coccidosis,50
Taita Taveta,Helminthiasis,2
Taita Taveta,Mastitis ,0
Makueni,Foot and Mouth Disease (FMD),0
Makueni,Foot and Mouth Disease (FMD),0
Makueni,Contagious Caprine Pleuropneumonia (CCPP),14
Taita Taveta,Infectous Corryza,50
Kwale,Fowl Pox,33
Taita Taveta,Helminthiasis,2
Kwale,Helmenthesis ,32
Taita Taveta,0,75
Kwale,Trypanosomiasis,1
Taita Taveta,Hypocalcaemia,1
Makueni,Foot and Mouth Disease (FMD),3
Kwale,Trypanosomiasis,5
Busia,Helminthiasis,18
Kwale,Trypanosomiasis,0
Makueni,Foot and Mouth Disease (FMD),2
Kajiado,Sheep scab,42
Kwale,Pneumonia,30
Makueni,Iron Deficiency ,0
Kwale,Trypanosomiasis,0
Kajiado,Leptospirosis,180
Kwale,Helminthiasis,0
Narok,East Coast Fever(ECF),14
Marsabit,Helminthiasis,0
Kajiado,Peste des Petit Ruminants (PPR),3
Kwale,Pneumonia,1
Bomet,Abscess,0
Makueni,Helminthiasis,1
Kakamega,Enterotoxaemia,2
Busia,Injury ,8
Vihiga,Laceration,3
Makueni,Lumpy Skin Disease (LSD),5
Vihiga,Helminthiasis,0
Makueni,Lumpy Skin Disease (LSD),5
Makueni,Lumpy Skin Disease (LSD),5
Samburu,Footrot ,63
Taita Taveta,Trypanosomiasis,2
Nakuru,East Coast Fever(ECF),12
Taita Taveta,Trypanosomiasis,6
Kwale,Helminthiasis,6
Busia,Helminthiasis,5
Taita Taveta,Anaplasmosis,2
Tharaka-Nithi,Black Quarter,8
Kwale,Rabies,3
Makueni,East Coast Fever(ECF),7
Samburu,0,8
Samburu,Anaplasmosis,5
Tharaka-Nithi,Brucellosis,5
Makueni,Helminthiasis,0
Makueni,Trypanosomiasis,3
Bomet,Helminthiasis,0
Makueni,East Coast Fever(ECF),5
Makueni,Helminthiasis,86
Makueni,Animal bites,10
Kakamega,Anaplasmosis,1
Makueni,Anaplasmosis,9
Kajiado,Contagious Caprine Pleuropneumonia (CCPP),20
Makueni,Premature Birth ,0
Makueni,East Coast Fever(ECF),6
Makueni,Thorn Prick,0
Bomet,Helminthiasis,0
Kitui,Peste des Petit Ruminants (PPR),40
Makueni,Pneumonia,12
Lamu,Contagious Bovine Pleuropneumonia (CBPP),200
Makueni,Mange,4
Bomet,Helminthiasis,0
Makueni,Anaplasmosis,4
Makueni,Pneumonia,7
Kajiado,Contagious Caprine Pleuropneumonia (CCPP),700
Makueni,Helminthiasis,18
Makueni,Pneumonia,0
Makueni,Newcastle Disease (NCD),350
Kwale,Anaplasmosis,6
Taita Taveta,Pneumonia,50
Kwale,Anaplasmosis,5
Kwale,Sheep Pox,15
Makueni,Sheep scab,0
Elgeyo/Marakwet,East Coast Fever(ECF),2
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),2
Kwale,Mange,13
Kwale,Helminthiasis,2
Kwale,Enterotoxaemia,10
Makueni,Helminthiasis,0
Vihiga,Anaplasmosis,1
West Pokot,Trypanosomiasis,118
Kwale,East Coast Fever(ECF),3
Vihiga,Mastitis,0
Lamu,Lumpy Skin Disease (LSD),30
Kakamega,Lumpy Skin Disease (LSD),8
Makueni,Lumpy Skin Disease (LSD),1
Makueni,Pneumonia,8
Makueni,Anaplasmosis,6
West Pokot,Rift Valley Fever (RVF),118
Makueni,Heart Water,5
Narok,Animal bites,15
Kwale,Mastitis ,2
Nakuru,Contagious Caprine Pleuropneumonia (CCPP),0
Makueni,Eye Infection ,0
Makueni,Trypanosomiasis,8
Makueni,Anaplasmosis,12
Kwale,Metal Cut Wound,2
Makueni,Animal bites,1
Makueni,Helminthiasis,0
Busia,Trypanosomiasis,3
Kwale,Salmonellosis,0
Makueni,Pneumonia,14
Kwale,Contagious Caprine Pleuropneumonia (CCPP),15
Trans Nzoia,Hydatidosis ,0
Kwale,Helminthiasis,12
Turkana,Contagious Caprine Pleuropneumonia (CCPP),357
Kwale,Pneumonia,14
Tharaka-Nithi,Goat Pox,2
Taita Taveta,Trypanosomiasis,1
Tharaka-Nithi,Lumpy Skin Disease (LSD),3
Tharaka-Nithi,Lumpy Skin Disease (LSD),1
Makueni,Contagious Caprine Pleuropneumonia (CCPP),4
Taita Taveta,Pneumonia,1
Taita Taveta,Enteritis ,0
Tharaka-Nithi,Lumpy Skin Disease (LSD),1
Tharaka-Nithi,Lumpy Skin Disease (LSD),0
Taita Taveta,Trypanosomiasis,12
Samburu,East Coast Fever(ECF),17
Taita Taveta,Mastitis ,0
Taita Taveta,Trypanosomiasis,1
Taita Taveta,Black Quarter,3
Siaya,Helminthiasis,7
Makueni,Helminthiasis,0
Marsabit,Dystocia,0
Vihiga,Newcastle Disease (NCD),250
Vihiga,Heartwater,5
Vihiga,Menges,4
Vihiga,East Coast Fever(ECF),1
Vihiga,Helminthiasis,5
Vihiga,Helminthiasis,2
Vihiga,Helminthiasis,0
Vihiga,Pneumonia,6
Vihiga,Diamond ,0
Vihiga,Helminthiasis,0
Busia,Helminthiasis,6
Vihiga,Pneumonia,3
Vihiga,Helminthiasis,1
Vihiga,Helminthiasis,4
Vihiga,Pink Eye,3
Vihiga,Pneumonia,2
Vihiga,Photosensitization,1
Vihiga,Pneumonia,6
Vihiga,Anaplasmosis,3
Busia,Stomach Enteritis,3
Vihiga,Helminthiasis,7
Vihiga,Pneumonia,5
Vihiga,Poisoning,0
Vihiga,Helminthiasis,0
Marsabit,Trypanosomiasis,25
Vihiga,Coccidosis,16
Vihiga,Helminthiasis,0
Vihiga,Ringworms,7
Vihiga,Helminthiasis,6
Marsabit,Peste des Petit Ruminants (PPR),240
Vihiga,Helminthiasis,7
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),9
Vihiga,Anaplasmosis,4
Marsabit,Brucellosis,5
Marsabit,Trypanosomiasis,25
Elgeyo/Marakwet,East Coast Fever(ECF),10
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),2
Samburu,Bluetongue ,63
Elgeyo/Marakwet,Mange Infestation ,80
Samburu,Peste des Petit Ruminants (PPR),138
Marsabit,Wound,10
Samburu, Footrot ,121
Samburu,Peste des Petit Ruminants (PPR),48
Samburu,Worms Infestation ,0
Samburu,Helminthiasis,123
Samburu,Peste des Petit Ruminants (PPR),57
Samburu,Foot and Mouth Disease (FMD),43
Samburu,Peste des Petit Ruminants (PPR),0
Samburu,Bluetongue ,86
Samburu,Contagious Caprine Pleuropneumonia (CCPP),87
Samburu,Camel Pox,0
Samburu,Contagious Skin Necrosis ,6
Samburu,Contagious Caprine Pleuropneumonia (CCPP),79
Samburu,Animal bites,3
Laikipia,Peste des Petit Ruminants (PPR),230
Samburu,Parvovirus,3
Samburu,Sodium Selenite Hypersensitivity ,0
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Makueni,Lumpy Skin Disease (LSD),4
Samburu,East Coast Fever(ECF),13
Makueni,Pneumonia,0
Samburu,East Coast Fever(ECF),3
Samburu,Hemonchosis,93
Makueni,Fowl Pox,320
Makueni,Abscess ,0
Makueni,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),3
Makueni,Pneumonia,1
Makueni,Abscess,1
Makueni,Newcastle Disease (NCD),50
Makueni,Helminthiasis,1
Makueni,Lumpy Skin Disease (LSD),20
Makueni,Helminthiasis,0
Makueni,Foot and Mouth Disease (FMD),20
Makueni,Mange,1
Makueni,Lumpy Skin Disease (LSD),3
Makueni,Helminthiasis,0
Makueni,Prolapse ,1
Makueni,Pneumonia,1
Makueni,Pneumonia,12
Makueni,Pneumonia,0
Makueni,Lumpy Skin Disease (LSD),300
Makueni,Helminthiasis,7
Makueni,Foot and Mouth Disease (FMD),250
Makueni,Pneumonia,0
Makueni,Newcastle Disease (NCD),80
Makueni,Helminthiasis,1
Makueni,Lumpy Skin Disease (LSD),290
Makueni,Pneumonia,0
Makueni,Foot and Mouth Disease (FMD),290
Makueni,Foot and Mouth Disease (FMD),10
Makueni,Helminthiasis,1
Kitui,Anaplasmosis,2
Makueni,Helminthiasis,0
Tana River,Black Quarter,250
Samburu,Bacterial Diarrhea ,21
Makueni,Lumpy Skin Disease (LSD),251
Turkana,Heart Water,56
Turkana,Enterotoxaemia,121
Makueni,Lumpy Skin Disease (LSD),2
Turkana,Enterotoxaemia,95
Turkana,Trypanosomiasis,43
Makueni,Anaplasmosis,3
Makueni,Animal bites,8
Makueni,Anaplasmosis,1
Makueni,Animal bites,16
Turkana,Camel Mange,41
Turkana,Helminthiasis,75
Turkana,Orf,96
Turkana,Contagious Caprine Pleuropneumonia (CCPP),123
Turkana,Orf,85
Makueni,Anaplasmosis,2
Makueni,Lumpy Skin Disease (LSD),0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Post Parturient Treatment ,1
Makueni,Pneumonia,1
Makueni,Foot and Mouth Disease (FMD),11
Makueni,Helminthiasis,0
Makueni,Pneumonia,4
Makueni,Routine Check Up,25
Makueni,Helminthiasis,0
Makueni,Heat Synchronization ,0
Makueni,0,10
Makueni,Helminthiasis,8
Makueni,Mange,10
Makueni,Lumpy Skin Disease (LSD),2
Makueni,Foot and Mouth Disease (FMD),17
Makueni,Helminthiasis,0
Makueni,Helminthiasis,3
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Syphilis ,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Mombasa,Lumpy Skin Disease (LSD),7
Makueni,Helminthiasis,7
Makueni,Trypanosomiasis,3
Makueni,Helminthiasis,2
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Helminthiasis,0
Makueni,Pneumonia,6
Makueni,Contagious Bovine Pleuropneumonia (CBPP),2
Makueni,Helminthiasis,10
Makueni,Helminthiasis,6
Makueni,Pneumonia,6
Makueni,Pneumonia,7
Makueni,Pneumonia,3
Makueni,Pneumonia,4
Makueni,Heart Water,4
Makueni,Pneumonia,5
Makueni,Anaplasmosis,4
Makueni,Helminthiasis,12
Makueni,Anaplasmosis,6
Makueni,Anaplasmosis,8
Makueni,East Coast Fever(ECF),6
Makueni,Newcastle Disease (NCD),530
Makueni,Helminthiasis,8
Makueni,Pneumonia,11
Makueni,Heart Water,3
Makueni,Anaplasmosis,3
Makueni,Anaplasmosis,4
Makueni,Helminthiasis,25
Makueni,Myiasis ,0
Makueni,Myopericarditis ,6
Makueni,East Coast Fever(ECF),3
Makueni,Trypanosomiasis,1
Makueni,East Coast Fever(ECF),2
Makueni,East Coast Fever(ECF),2
Makueni,Heart Water,70
Makueni,Anaemia,8
Makueni,Foot and Mouth Disease (FMD),4
Makueni,Lumpy Skin Disease (LSD),10
Makueni,Helminthiasis,4
Makueni,Coccidosis,1500
Makueni,Foot and Mouth Disease (FMD),5
Makueni,Helminthiasis,15
Makueni,Haemorrhagic Septicemia ,50
Makueni,Helminthiasis,0
Makueni,Calving,5
Makueni,Helminthiasis,5
Makueni,Anaplasmosis,4
Makueni,0,5
Makueni,Foot and Mouth Disease (FMD),0
Makueni,Infectious Bronchitis,20
Makueni,Hoof Trimming ,0
Makueni,Clinical Mastitis ,3
Makueni,Helminthiasis,0
Makueni,East Coast Fever(ECF),2
Makueni,Helminthiasis,10
Makueni,Contagious Bovine Pleuropneumonia (CBPP),419
Tharaka-Nithi,Foot and Mouth Disease (FMD),18
Kakamega,East Coast Fever(ECF),3
Kakamega,Anaplasmosis,5
Makueni,Pneumonia,0
Makueni,Lumpy Skin Disease (LSD),300
Makueni,Anaplasmosis,1
Tharaka-Nithi,Lumpy Skin Disease (LSD),3
Makueni,Canine Distemper (CD),4
Kakamega,Poisoning,3
Kakamega,Dermatomycosis,5
Kwale,Helminthiasis,7
Kakamega,Mastitis ,3
Makueni,Lumpy Skin Disease (LSD),5
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Kakamega,Mastitis ,3
Kakamega,Warts,2
Kwale,Heart Water,9
Kakamega,Warts,3
Kwale,Helminthiasis,9
Kwale,Contagious Caprine Pleuropneumonia (CCPP),18
Kwale,Newcastle Disease (NCD),60
Kwale,Contagious Caprine Pleuropneumonia (CCPP),7
Kwale,Helminthiasis,5
Kwale,Helminthiasis,18
Kwale,Contagious Caprine Pleuropneumonia (CCPP),71
Kwale,Contagious Caprine Pleuropneumonia (CCPP),11
Kwale,Contagious Caprine Pleuropneumonia (CCPP),12
Kwale,Heart Water,11
Kwale,Scepticaemia,5
Kwale,Contagious Caprine Pleuropneumonia (CCPP),6
Kwale,Mange,2
Kwale,Mange,2
Kwale,Helminthiasis,14
Kwale,Helminthiasis,21
Kwale,Coccidosis,96
Kwale,Coccidosis,62
Kwale,Contagious Caprine Pleuropneumonia (CCPP),8
Kwale,Helminthiasis,18
Kwale,Contagious Caprine Pleuropneumonia (CCPP),15
Kwale,Helminthiasis,5
Kwale,Heart Water,31
Kwale,Pneumonia,4
Kwale,Infectious Bronchitis,60
Kwale,Helminthiasis,6
Kwale,Helminthiasis,18
Kwale,Pneumonia,11
Kwale,Pneumonia,16
Kwale,Helminthiasis,8
Kwale,Canine Distemper (CD),2
Kwale,Lumpy Skin Disease (LSD),2
Marsabit,Mange,8
Kwale,Ticks Infestation,5
Kwale,Trypanosomiasis,5
Kwale,Contagious Caprine Pleuropneumonia (CCPP),11
Kwale,Contagious Caprine Pleuropneumonia (CCPP),26
Marsabit,Rabies,50
Marsabit,Helminthiasis,19
Marsabit,Trypanosomiasis,5
Marsabit,Foot and Mouth Disease (FMD),3
Marsabit,Vaginal Prolapse ,1
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),12
Marsabit,Fowl Pox,5
Vihiga,East Coast Fever(ECF),3
Marsabit,Brucellosis,5
Vihiga,Infertility  Disease,1
Kwale,Contagious Caprine Pleuropneumonia (CCPP),8
Kwale,Contagious Caprine Pleuropneumonia (CCPP),11
Samburu,Peste des Petit Ruminants (PPR),23
Kwale,Contagious Caprine Pleuropneumonia (CCPP),9
Vihiga,0,0
Kakamega,East Coast Fever(ECF),6
Kakamega,East Coast Fever(ECF),6
Makueni,Anaplasmosis,2
Samburu,Sheep Pox,10
Kwale,Infectious Bronchitis,35
Vihiga,Mastitis ,0
Makueni,Foot and Mouth Disease (FMD),3
Kakamega,Rabies,2
Vihiga,Enterotoxaemia,0
Marsabit,Peste des Petit Ruminants (PPR),29
Kwale,Helminthiasis,2
Marsabit,Trypanosomiasis,5
Taita Taveta,Foot and Mouth Disease (FMD),15
Samburu,Pneumonia,41
Kwale,Helminthiasis,15
Marsabit,Peste des Petit Ruminants (PPR),46
Kwale,Helminthiasis,19
Samburu,Pneumonia,141
Kwale,Heart Water,20
Marsabit,Peste des Petit Ruminants (PPR),15
Marsabit,Peste des Petit Ruminants (PPR),45
Kwale,Contagious Caprine Pleuropneumonia (CCPP),11
Kwale,Contagious Caprine Pleuropneumonia (CCPP),9
Kwale,Contagious Caprine Pleuropneumonia (CCPP),52
Kwale,Contagious Caprine Pleuropneumonia (CCPP),26
Kwale,Trypanosomiasis,9
Kwale,Septicemia ,6
Kwale,Contagious Caprine Pleuropneumonia (CCPP),24
Makueni,Lumpy Skin Disease (LSD),15
Lamu,Contagious Caprine Pleuropneumonia (CCPP),300
Kwale,Contagious Caprine Pleuropneumonia (CCPP),13
Taita Taveta,Anaplasmosis,1
Makueni,Lumpy Skin Disease (LSD),1
Kwale, ,25
Kwale,Newcastle Disease (NCD),300
Kwale,Heart Water,20
Taita Taveta,East Coast Fever(ECF),3
West Pokot,Peste des Petit Ruminants (PPR),34
Taita Taveta,Anaplasmosis,1
Kwale,Anaplasmosis,7
Makueni,Lumpy Skin Disease (LSD),2
Kwale,Contagious Caprine Pleuropneumonia (CCPP),20
Taita Taveta,Coccidosis,50
Makueni,Rabies,0
Taita Taveta,East Coast Fever(ECF),2
Taita Taveta,East Coast Fever(ECF),2
Kwale,Helminthiasis,20
Kwale,East Coast Fever(ECF),3
Taita Taveta,Anaplasmosis,0
Taita Taveta,East Coast Fever(ECF),2
Kakamega,Rabies,5
Taita Taveta,East Coast Fever(ECF),1
Kakamega,Rabies,1
Taita Taveta,GIT Infection,23
Taita Taveta,East Coast Fever(ECF),3
Taita Taveta,Pneumonia,3
Samburu,Diarrhoea ,83
Taita Taveta,Trypanosomiasis,4
Taita Taveta,Trypanosomiasis,2
Taita Taveta,Uterine Infection,0
Taita Taveta,Pneumonia,2
Taita Taveta,Acute Trypanosomiasis,2
Samburu,Helminthiasis,12
Taita Taveta,Abscess,2
Taita Taveta,Trypanosomiasis,0
Bungoma,East Coast Fever(ECF),5
Taita Taveta,Trypanosomiasis,2
Taita Taveta,East Coast Fever(ECF),1
Makueni,Trypanosomiasis,2
Samburu,Helminthiasis,9
Kwale,No,6
Kwale,Pneumonia,0
Siaya,Foot and Mouth Disease (FMD),15
Siaya,Lumpy Skin Disease (LSD),2
Kwale,Pneumonia,2
Kwale,Pneumonia,0
Samburu,Helminthiasis,0
Kwale,Poisoning,5
Kwale,Trypanosomiasis,0
Samburu,Parvovirus,1
Kwale,Pneumonia,3
Kwale,Pneumonia,2
Kakamega,Anaplasmosis,3
Kwale,Pneumonia And Mange,3
Kwale,Pneumonia,0
Nyandarua,Non,8
Kwale,Poisoning,9
Samburu,Aflatoxin Poisoning ,0
Laikipia,Hemonchosis,800
Busia,Trypanosomiasis,8
Busia,Anaplasmosis,4
Busia,East Coast Fever(ECF),5
Busia,Rabies,9
